#  L    TT    EE     BB    EB
1156    1.24152E+03    1.31141E+01    9.46132E-02    -2.38798E+01
1157    1.21667E+03    1.37583E+01    9.61898E-02    -2.46099E+01
1158    1.19132E+03    1.31514E+01    9.42242E-02    -1.70115E+01
1159    1.24780E+03    1.33809E+01    9.65026E-02    -2.67077E+01
1160    1.23480E+03    1.37477E+01    9.74592E-02    -2.16429E+01
1161    1.26797E+03    1.40390E+01    9.29210E-02    -2.08507E+01
1162    1.22310E+03    1.35707E+01    9.11125E-02    -2.11735E+01
1163    1.18821E+03    1.39601E+01    9.49728E-02    -2.24277E+01
1164    1.20374E+03    1.39353E+01    9.62610E-02    -1.79555E+01
1165    1.12311E+03    1.32459E+01    9.71538E-02    -1.69710E+01
1166    1.22237E+03    1.31416E+01    9.55388E-02    -1.32862E+01
1167    1.16369E+03    1.33458E+01    9.27541E-02    -1.72159E+01
1168    1.22104E+03    1.35654E+01    9.56733E-02    -1.26844E+01
1169    1.17949E+03    1.38255E+01    9.23833E-02    -1.20552E+01
1170    1.22802E+03    1.40522E+01    9.14927E-02    -1.30365E+01
1171    1.16651E+03    1.43936E+01    9.53163E-02    -1.54130E+01
1172    1.19666E+03    1.40976E+01    9.01157E-02    -1.06582E+01
1173    1.14160E+03    1.41887E+01    9.49096E-02    -1.10220E+01
1174    1.15780E+03    1.35895E+01    8.97138E-02    -8.64715E+00
1175    1.18440E+03    1.43125E+01    9.02998E-02    -1.19692E+01
1176    1.10914E+03    1.40227E+01    9.71352E-02    -1.26785E+01
1177    1.11304E+03    1.52007E+01    9.67119E-02    -8.20682E+00
1178    1.15717E+03    1.44698E+01    8.90811E-02    -1.31424E+01
1179    1.07201E+03    1.58859E+01    9.53842E-02    -9.76594E+00
1180    1.15525E+03    1.50737E+01    9.46473E-02    -1.25971E+01
1181    1.12723E+03    1.55212E+01    9.40775E-02    -3.97797E+00
1182    1.14312E+03    1.48256E+01    9.03712E-02    -6.23697E+00
1183    1.13339E+03    1.52017E+01    8.69509E-02    -5.67796E+00
1184    1.12015E+03    1.47086E+01    9.20140E-02    -1.75540E+00
1185    1.09763E+03    1.50057E+01    9.14120E-02    -5.84194E+00
1186    1.11153E+03    1.49902E+01    9.28746E-02    -5.58584E+00
1187    1.08961E+03    1.59149E+01    8.74044E-02    -3.57049E+00
1188    1.09056E+03    1.55515E+01    9.05800E-02    -6.24880E+00
1189    1.07646E+03    1.59494E+01    9.04672E-02    -5.71628E-01
1190    1.05909E+03    1.55672E+01    8.99207E-02    -5.85238E+00
1191    1.02860E+03    1.57307E+01    9.21857E-02    1.82825E+00
1192    1.06680E+03    1.54377E+01    9.25844E-02    -2.47427E+00
1193    1.06710E+03    1.66928E+01    8.73450E-02    -5.85735E+00
1194    1.05216E+03    1.63212E+01    8.80426E-02    1.83049E+00
1195    1.08341E+03    1.62197E+01    8.69385E-02    2.26185E+00
1196    1.05275E+03    1.64872E+01    9.27011E-02    4.08679E-01
1197    1.03900E+03    1.63419E+01    9.06948E-02    2.69157E+00
1198    1.06359E+03    1.80436E+01    9.46753E-02    1.38454E+00
1199    1.08164E+03    1.73718E+01    9.36669E-02    -9.83445E-01
1200    1.08943E+03    1.71540E+01    9.21819E-02    4.39980E+00
1201    1.03151E+03    1.75280E+01    9.33336E-02    3.55766E+00
1202    9.67864E+02    1.84333E+01    8.89452E-02    4.53046E+00
1203    1.10688E+03    1.87326E+01    8.94633E-02    1.38252E+01
1204    1.05364E+03    1.74716E+01    8.77497E-02    4.30672E+00
1205    1.00269E+03    1.82800E+01    8.92263E-02    5.41899E+00
1206    1.02983E+03    1.82176E+01    9.08608E-02    5.03963E+00
1207    1.00439E+03    1.84205E+01    9.82054E-02    1.85144E+00
1208    9.95819E+02    1.83666E+01    8.96242E-02    2.92244E+00
1209    1.07507E+03    1.95161E+01    8.75999E-02    6.23719E+00
1210    1.02476E+03    2.07576E+01    9.31568E-02    5.89453E+00
1211    1.00652E+03    1.96815E+01    9.30104E-02    6.85789E+00
1212    9.93633E+02    1.90871E+01    9.27898E-02    5.32244E+00
1213    9.60185E+02    1.98757E+01    8.79090E-02    2.94960E+00
1214    1.00652E+03    1.95198E+01    9.24294E-02    6.62812E+00
1215    9.49586E+02    2.04147E+01    9.61445E-02    6.60208E+00
1216    1.01749E+03    2.23999E+01    9.03346E-02    1.01663E+01
1217    9.90838E+02    2.03335E+01    9.24237E-02    1.03179E+01
1218    9.79420E+02    2.11485E+01    9.00669E-02    2.13882E+00
1219    9.60707E+02    2.00155E+01    8.74673E-02    1.03655E+00
1220    1.05229E+03    2.12215E+01    9.08265E-02    4.06390E+00
1221    9.88094E+02    2.11737E+01    8.99377E-02    4.95006E+00
1222    9.57733E+02    2.08448E+01    9.15744E-02    3.93854E+00
1223    9.40346E+02    2.19980E+01    8.68200E-02    5.28760E+00
1224    9.50694E+02    2.21308E+01    9.07942E-02    6.47120E+00
1225    9.79471E+02    2.20846E+01    8.89186E-02    5.77671E+00
1226    9.25185E+02    2.25366E+01    8.59821E-02    8.06767E+00
1227    9.52297E+02    2.25330E+01    8.75626E-02    4.13821E+00
1228    9.34864E+02    2.21261E+01    8.94680E-02    1.89105E+00
1229    8.90957E+02    2.29394E+01    8.74481E-02    5.34457E+00
1230    9.19992E+02    2.29710E+01    9.01544E-02    4.36359E+00
1231    9.30168E+02    2.26145E+01    8.35405E-02    4.61221E-01
1232    9.15606E+02    2.32477E+01    9.35132E-02    8.82774E-01
1233    9.17710E+02    2.43348E+01    8.87406E-02    -1.69309E+00
1234    8.83716E+02    2.30322E+01    8.65305E-02    9.47280E+00
1235    8.61219E+02    2.36633E+01    9.01773E-02    4.36452E+00
1236    9.21244E+02    2.24257E+01    8.64446E-02    8.65519E+00
1237    8.86907E+02    2.45979E+01    8.46079E-02    -3.35650E-01
1238    8.90156E+02    2.40408E+01    8.48189E-02    8.07920E+00
1239    9.05872E+02    2.55208E+01    9.18130E-02    1.91150E+00
1240    8.56239E+02    2.39245E+01    9.16079E-02    7.25094E+00
1241    8.50241E+02    2.66420E+01    9.04945E-02    3.13686E+00
1242    8.88244E+02    2.43849E+01    9.24169E-02    4.04176E+00
1243    8.45363E+02    2.54090E+01    8.94772E-02    -2.15337E-01
1244    8.84776E+02    2.46841E+01    8.75658E-02    -2.12516E+00
1245    9.04990E+02    2.63605E+01    8.82824E-02    -1.45456E+00
1246    8.20410E+02    2.63081E+01    8.34687E-02    2.26244E+00
1247    7.98448E+02    2.53371E+01    8.72270E-02    -8.14416E-02
1248    8.38370E+02    2.66264E+01    9.01004E-02    -2.41054E+00
1249    8.29082E+02    2.71229E+01    8.60742E-02    -2.20695E+00
1250    8.34958E+02    2.64991E+01    8.78957E-02    -3.77844E+00
1251    8.26935E+02    2.69172E+01    8.92044E-02    -7.57921E+00
1252    8.49860E+02    2.67943E+01    8.84581E-02    -6.20361E+00
1253    8.20725E+02    2.73834E+01    8.59179E-02    -1.84344E+00
1254    8.45612E+02    2.75350E+01    8.84126E-02    -8.27398E-01
1255    8.38228E+02    2.68274E+01    8.51459E-02    4.31941E-01
1256    8.55346E+02    2.64328E+01    8.30209E-02    -4.96837E+00
1257    7.68730E+02    2.67125E+01    9.05840E-02    -1.31419E+00
1258    7.99962E+02    2.60797E+01    9.22247E-02    -7.67007E+00
1259    8.13748E+02    2.91038E+01    9.25807E-02    -7.78924E+00
1260    7.92280E+02    2.82869E+01    8.75940E-02    -8.17404E+00
1261    8.05421E+02    2.84736E+01    8.63361E-02    -4.42156E+00
1262    8.04164E+02    2.88362E+01    8.87766E-02    -8.79465E+00
1263    8.15413E+02    2.93623E+01    8.81201E-02    -1.12032E+01
1264    7.92823E+02    2.93732E+01    8.41688E-02    -1.10732E+01
1265    7.94487E+02    2.76982E+01    8.34706E-02    -1.54874E+01
1266    7.81839E+02    2.93105E+01    9.04296E-02    -5.47175E+00
1267    8.00455E+02    2.92015E+01    9.03794E-02    -1.20251E+01
1268    7.94111E+02    2.75264E+01    8.35270E-02    -1.10773E+01
1269    7.79186E+02    2.99036E+01    8.37152E-02    -1.37914E+01
1270    7.74005E+02    2.96776E+01    8.41545E-02    -1.33867E+01
1271    7.45892E+02    2.92102E+01    8.92048E-02    -1.40605E+01
1272    7.48320E+02    2.83946E+01    8.80675E-02    -1.07867E+01
1273    7.44612E+02    3.07840E+01    8.69534E-02    -1.02283E+01
1274    7.89237E+02    3.02665E+01    8.23673E-02    -1.89773E+01
1275    7.95190E+02    3.05902E+01    9.01499E-02    -1.50360E+01
1276    7.68248E+02    3.14646E+01    8.86176E-02    -2.59399E+01
1277    8.11675E+02    3.07969E+01    8.49101E-02    -1.61831E+01
1278    7.51627E+02    2.89448E+01    8.60580E-02    -1.81074E+01
1279    7.47358E+02    2.97923E+01    8.35369E-02    -2.08067E+01
1280    7.23202E+02    3.05551E+01    8.56700E-02    -2.04744E+01
1281    7.54105E+02    3.04035E+01    8.62666E-02    -1.92292E+01
1282    7.42880E+02    3.01789E+01    8.75161E-02    -1.86093E+01
1283    7.73801E+02    3.01464E+01    8.50507E-02    -2.12367E+01
1284    7.35848E+02    3.04057E+01    8.37874E-02    -2.35791E+01
1285    7.71357E+02    3.00079E+01    9.19110E-02    -2.32161E+01
1286    7.37186E+02    2.97114E+01    8.76779E-02    -2.48580E+01
1287    7.47816E+02    3.01820E+01    8.68038E-02    -2.26459E+01
1288    7.03377E+02    3.00311E+01    8.17906E-02    -2.64239E+01
1289    7.03940E+02    3.05828E+01    8.11308E-02    -2.14010E+01
1290    7.21821E+02    2.95519E+01    8.65901E-02    -2.45587E+01
1291    7.30608E+02    3.14061E+01    8.25232E-02    -2.85681E+01
1292    7.20090E+02    3.08752E+01    8.65498E-02    -2.68936E+01
1293    7.11889E+02    3.05840E+01    8.04813E-02    -3.26158E+01
1294    7.26906E+02    3.01537E+01    8.35361E-02    -2.78336E+01
1295    6.95820E+02    3.11161E+01    8.38789E-02    -2.76307E+01
1296    7.05653E+02    2.90270E+01    8.03870E-02    -2.40720E+01
1297    6.88902E+02    3.12786E+01    8.31094E-02    -2.88949E+01
1298    7.45803E+02    3.00410E+01    8.54571E-02    -3.09437E+01
1299    7.16616E+02    3.00795E+01    8.66582E-02    -2.53928E+01
1300    7.00665E+02    3.11127E+01    8.27729E-02    -3.36752E+01
1301    7.11344E+02    3.09557E+01    8.09176E-02    -3.58698E+01
1302    7.31725E+02    2.95483E+01    8.68133E-02    -3.27850E+01
1303    7.31722E+02    2.98289E+01    8.66225E-02    -3.11553E+01
1304    6.99339E+02    3.12535E+01    8.16563E-02    -3.80513E+01
1305    7.13821E+02    3.05876E+01    8.58346E-02    -3.34464E+01
1306    7.04392E+02    3.03812E+01    8.29220E-02    -3.75295E+01
1307    6.96710E+02    3.14986E+01    8.42086E-02    -3.43084E+01
1308    7.21162E+02    3.09179E+01    8.25868E-02    -3.73900E+01
1309    7.43046E+02    3.23396E+01    8.54644E-02    -4.54273E+01
1310    6.90755E+02    2.87961E+01    8.30722E-02    -3.65869E+01
1311    7.35610E+02    3.02267E+01    8.23234E-02    -4.26214E+01
1312    7.57433E+02    3.11838E+01    8.01528E-02    -4.35790E+01
1313    6.98184E+02    2.98749E+01    8.51610E-02    -4.21996E+01
1314    6.99186E+02    2.94260E+01    8.09611E-02    -4.19578E+01
1315    7.10833E+02    2.89545E+01    8.21391E-02    -3.86416E+01
1316    7.30168E+02    3.07316E+01    8.43563E-02    -4.60404E+01
1317    6.84275E+02    3.16982E+01    8.20732E-02    -4.64607E+01
1318    7.07545E+02    3.04253E+01    7.97333E-02    -4.41412E+01
1319    6.71597E+02    2.99690E+01    8.46943E-02    -4.46560E+01
1320    7.30148E+02    3.02657E+01    8.30519E-02    -4.69022E+01
1321    7.28259E+02    2.97162E+01    8.64220E-02    -4.70213E+01
1322    7.11387E+02    2.93393E+01    8.37433E-02    -4.68119E+01
1323    7.19947E+02    3.02402E+01    8.33257E-02    -4.90773E+01
1324    7.14802E+02    2.96156E+01    7.73617E-02    -5.11606E+01
1325    7.32464E+02    2.95774E+01    8.17504E-02    -4.92430E+01
1326    7.24066E+02    2.82149E+01    8.41199E-02    -4.68204E+01
1327    7.24934E+02    3.05604E+01    8.07404E-02    -5.32052E+01
1328    7.24571E+02    2.86868E+01    8.13706E-02    -4.43492E+01
1329    7.13154E+02    2.97254E+01    8.19825E-02    -5.22585E+01
1330    7.14418E+02    2.79367E+01    8.09172E-02    -5.36470E+01
1331    7.31181E+02    2.96122E+01    8.37156E-02    -5.27430E+01
1332    7.20733E+02    2.74158E+01    8.55814E-02    -4.55247E+01
1333    6.94531E+02    2.92203E+01    8.28085E-02    -4.97016E+01
1334    7.31412E+02    2.77947E+01    8.38520E-02    -5.13503E+01
1335    7.25054E+02    2.77406E+01    8.29346E-02    -5.30539E+01
1336    7.22746E+02    2.86759E+01    8.20464E-02    -4.80394E+01
1337    7.52488E+02    2.79990E+01    8.67574E-02    -5.19095E+01
1338    7.31739E+02    2.91877E+01    8.25535E-02    -5.66662E+01
1339    7.19586E+02    2.72499E+01    7.87855E-02    -5.53257E+01
1340    7.06632E+02    2.71381E+01    8.39769E-02    -5.21429E+01
1341    7.18647E+02    2.78319E+01    8.17480E-02    -5.52213E+01
1342    7.13579E+02    2.69810E+01    8.61229E-02    -5.50019E+01
1343    7.39182E+02    2.75353E+01    8.10365E-02    -5.80743E+01
1344    7.59316E+02    2.65052E+01    8.39298E-02    -5.50060E+01
1345    7.07410E+02    2.66260E+01    7.98914E-02    -5.53204E+01
1346    7.19459E+02    2.68276E+01    8.26649E-02    -5.79771E+01
1347    7.39689E+02    2.70095E+01    8.09634E-02    -5.80957E+01
1348    7.44527E+02    2.62289E+01    8.33486E-02    -5.93147E+01
1349    7.52863E+02    2.63058E+01    8.16910E-02    -5.87431E+01
1350    7.34716E+02    2.52356E+01    8.23992E-02    -5.70470E+01
1351    7.42245E+02    2.56520E+01    8.22046E-02    -5.79881E+01
1352    7.40527E+02    2.51439E+01    8.20302E-02    -5.92002E+01
1353    7.91026E+02    2.59660E+01    8.47972E-02    -6.56131E+01
1354    7.71937E+02    2.47738E+01    7.91276E-02    -6.41888E+01
1355    7.24193E+02    2.37253E+01    8.30753E-02    -5.24044E+01
1356    7.78745E+02    2.50881E+01    7.76243E-02    -6.05420E+01
1357    7.54602E+02    2.43248E+01    7.99259E-02    -5.67516E+01
1358    7.56804E+02    2.52923E+01    8.42962E-02    -6.17845E+01
1359    7.88798E+02    2.63800E+01    7.96144E-02    -6.65350E+01
1360    7.90596E+02    2.55829E+01    7.85689E-02    -6.28194E+01
1361    7.41662E+02    2.38564E+01    8.27808E-02    -5.61537E+01
1362    7.67091E+02    2.45340E+01    8.00514E-02    -5.97681E+01
1363    7.69254E+02    2.38756E+01    7.89986E-02    -6.14496E+01
1364    7.52871E+02    2.38491E+01    8.09547E-02    -6.14212E+01
1365    7.69097E+02    2.36264E+01    8.24981E-02    -6.23770E+01
1366    8.13051E+02    2.39340E+01    8.03499E-02    -6.46040E+01
1367    7.79101E+02    2.31285E+01    8.16029E-02    -6.30220E+01
1368    7.62973E+02    2.31245E+01    8.67672E-02    -6.17157E+01
1369    7.75227E+02    2.23313E+01    8.05651E-02    -5.72942E+01
1370    7.45182E+02    2.25837E+01    8.05329E-02    -5.70553E+01
1371    7.82989E+02    2.19586E+01    8.35675E-02    -6.08921E+01
1372    7.69261E+02    2.30295E+01    7.98355E-02    -6.27987E+01
1373    7.96901E+02    2.16418E+01    7.95193E-02    -6.09333E+01
1374    8.39720E+02    2.22372E+01    8.02554E-02    -6.53785E+01
1375    7.52465E+02    2.19422E+01    7.98477E-02    -6.24750E+01
1376    7.41380E+02    2.02939E+01    8.08683E-02    -5.79644E+01
1377    7.83507E+02    2.12272E+01    8.36601E-02    -5.75913E+01
1378    7.89535E+02    2.16594E+01    7.84950E-02    -6.04793E+01
1379    7.76474E+02    2.07786E+01    8.23983E-02    -5.90558E+01
1380    8.00527E+02    2.13464E+01    8.55437E-02    -5.99187E+01
1381    8.08052E+02    2.09021E+01    7.99256E-02    -6.49230E+01
1382    7.86744E+02    2.09819E+01    7.78254E-02    -5.92949E+01
1383    7.97485E+02    2.02573E+01    8.04036E-02    -5.72287E+01
1384    7.73394E+02    2.02121E+01    8.31643E-02    -5.70433E+01
1385    8.24876E+02    2.04826E+01    8.23439E-02    -6.14509E+01
1386    7.89472E+02    2.10793E+01    8.18700E-02    -5.91879E+01
1387    7.81304E+02    1.88854E+01    7.88639E-02    -5.41766E+01
1388    7.77485E+02    1.95555E+01    7.92979E-02    -5.44798E+01
1389    8.05921E+02    1.88857E+01    8.41787E-02    -5.83538E+01
1390    8.06078E+02    1.80049E+01    7.70776E-02    -5.44124E+01
1391    8.06926E+02    1.95558E+01    7.82747E-02    -6.00352E+01
1392    8.03266E+02    1.84346E+01    8.28660E-02    -5.78770E+01
1393    8.25702E+02    1.87321E+01    7.77204E-02    -5.93599E+01
1394    8.02966E+02    1.81597E+01    7.86168E-02    -5.37952E+01
1395    8.15061E+02    1.89118E+01    8.14135E-02    -5.92525E+01
1396    7.89761E+02    1.76795E+01    8.36300E-02    -5.45544E+01
1397    7.70440E+02    1.76924E+01    8.01013E-02    -5.49924E+01
1398    8.19863E+02    1.77046E+01    7.78610E-02    -5.40140E+01
1399    8.12539E+02    1.81587E+01    7.93320E-02    -5.78793E+01
1400    8.32265E+02    1.79181E+01    8.27442E-02    -5.94114E+01
1401    8.20556E+02    1.78185E+01    7.78664E-02    -5.60020E+01
1402    8.14682E+02    1.76418E+01    8.20474E-02    -5.41297E+01
1403    8.29137E+02    1.66146E+01    7.90123E-02    -5.57705E+01
1404    8.45693E+02    1.61796E+01    8.32485E-02    -5.28899E+01
1405    8.21887E+02    1.72013E+01    7.93372E-02    -5.43013E+01
1406    8.01155E+02    1.58463E+01    8.27890E-02    -5.08075E+01
1407    7.92741E+02    1.68074E+01    8.16623E-02    -5.19801E+01
1408    8.33757E+02    1.68227E+01    8.25734E-02    -5.30688E+01
1409    7.83136E+02    1.61042E+01    7.89057E-02    -5.04128E+01
1410    8.07572E+02    1.57662E+01    7.57712E-02    -4.95268E+01
1411    8.42093E+02    1.60394E+01    7.88992E-02    -5.49092E+01
1412    8.26354E+02    1.57117E+01    7.88367E-02    -4.88622E+01
1413    8.23981E+02    1.51690E+01    7.99889E-02    -4.97444E+01
1414    7.91951E+02    1.50883E+01    8.11706E-02    -4.71570E+01
1415    8.12503E+02    1.48005E+01    7.79027E-02    -4.99537E+01
1416    8.36190E+02    1.60103E+01    7.84478E-02    -5.36656E+01
1417    8.05093E+02    1.46996E+01    7.75798E-02    -4.78652E+01
1418    8.20937E+02    1.40191E+01    8.13393E-02    -4.57501E+01
1419    8.01651E+02    1.42532E+01    7.46543E-02    -4.52891E+01
1420    8.20267E+02    1.49125E+01    7.86505E-02    -4.89811E+01
1421    8.22947E+02    1.38754E+01    7.79241E-02    -4.47084E+01
1422    8.29254E+02    1.37805E+01    8.07157E-02    -4.41492E+01
1423    8.40717E+02    1.42957E+01    7.97588E-02    -4.90675E+01
1424    7.82908E+02    1.35654E+01    7.74875E-02    -4.19890E+01
1425    8.19910E+02    1.32120E+01    7.98601E-02    -4.10766E+01
1426    8.55244E+02    1.33889E+01    8.11054E-02    -4.60160E+01
1427    7.90919E+02    1.29212E+01    7.86583E-02    -3.96667E+01
1428    8.20970E+02    1.31128E+01    7.82856E-02    -4.02332E+01
1429    7.87836E+02    1.32281E+01    8.04767E-02    -3.98600E+01
1430    8.35626E+02    1.39084E+01    8.00876E-02    -4.29608E+01
1431    8.20995E+02    1.33650E+01    7.90213E-02    -3.87004E+01
1432    7.79619E+02    1.27105E+01    7.88735E-02    -3.81023E+01
1433    7.98159E+02    1.28061E+01    7.99190E-02    -3.78887E+01
1434    8.57240E+02    1.31999E+01    7.64798E-02    -4.15315E+01
1435    8.42951E+02    1.30322E+01    8.13530E-02    -3.97031E+01
1436    8.12202E+02    1.30603E+01    8.15542E-02    -3.73542E+01
1437    8.22513E+02    1.30624E+01    8.23555E-02    -4.00094E+01
1438    7.81890E+02    1.27127E+01    7.99327E-02    -3.50498E+01
1439    8.09914E+02    1.27200E+01    7.82565E-02    -3.45071E+01
1440    7.81116E+02    1.27787E+01    8.14631E-02    -3.58469E+01
1441    8.28873E+02    1.23634E+01    7.74312E-02    -3.27476E+01
1442    7.88846E+02    1.22592E+01    8.02049E-02    -3.15914E+01
1443    8.22469E+02    1.21612E+01    7.93660E-02    -3.49074E+01
1444    8.30739E+02    1.21660E+01    7.41192E-02    -3.22690E+01
1445    8.33379E+02    1.22238E+01    8.17065E-02    -3.08687E+01
1446    8.20634E+02    1.23999E+01    8.14030E-02    -2.96442E+01
1447    7.77531E+02    1.21373E+01    7.85130E-02    -2.74070E+01
1448    8.25547E+02    1.20418E+01    7.97596E-02    -2.84961E+01
1449    8.20772E+02    1.13592E+01    7.78926E-02    -2.64580E+01
1450    8.00581E+02    1.20300E+01    7.76044E-02    -2.86508E+01
1451    8.09926E+02    1.17295E+01    7.62061E-02    -3.00798E+01
1452    7.46474E+02    1.18090E+01    7.66620E-02    -2.47581E+01
1453    8.13265E+02    1.19006E+01    7.95282E-02    -2.70562E+01
1454    7.85874E+02    1.19713E+01    8.31409E-02    -2.61154E+01
1455    7.83034E+02    1.18441E+01    7.79648E-02    -2.58804E+01
1456    7.87057E+02    1.15043E+01    7.72578E-02    -2.26835E+01
1457    8.00915E+02    1.12958E+01    7.74918E-02    -2.29469E+01
1458    7.60121E+02    1.17862E+01    7.97961E-02    -2.16673E+01
1459    7.97139E+02    1.13835E+01    8.05631E-02    -2.58505E+01
1460    7.92383E+02    1.18938E+01    7.75614E-02    -2.48572E+01
1461    7.64109E+02    1.14622E+01    7.71481E-02    -1.96800E+01
1462    7.90143E+02    1.16269E+01    7.83612E-02    -2.02821E+01
1463    7.86596E+02    1.16433E+01    7.61221E-02    -2.14048E+01
1464    7.58640E+02    1.14626E+01    7.64211E-02    -1.92703E+01
1465    7.67092E+02    1.18567E+01    7.58757E-02    -1.84982E+01
1466    7.91586E+02    1.13044E+01    7.88391E-02    -1.65012E+01
1467    7.77311E+02    1.18805E+01    7.66911E-02    -1.66165E+01
1468    7.39739E+02    1.13459E+01    7.78866E-02    -1.75100E+01
1469    7.49542E+02    1.10903E+01    8.04320E-02    -1.70830E+01
1470    7.89184E+02    1.12015E+01    7.93139E-02    -1.43779E+01
1471    8.07626E+02    1.10195E+01    7.95505E-02    -1.38237E+01
1472    7.56107E+02    1.05715E+01    7.89317E-02    -1.32013E+01
1473    7.63664E+02    1.15600E+01    7.69126E-02    -1.39637E+01
1474    7.33284E+02    1.12743E+01    7.77073E-02    -1.23491E+01
1475    7.39256E+02    1.19207E+01    7.56102E-02    -1.35084E+01
1476    7.21158E+02    1.12687E+01    7.63837E-02    -1.30226E+01
1477    7.58357E+02    1.09694E+01    7.97600E-02    -1.15098E+01
1478    7.52158E+02    1.19720E+01    7.71588E-02    -9.06089E+00
1479    7.51373E+02    1.17707E+01    7.76919E-02    -1.19482E+01
1480    7.02704E+02    1.19634E+01    7.78130E-02    -9.17358E+00
1481    7.50115E+02    1.11100E+01    7.71119E-02    -9.28462E+00
1482    7.24524E+02    1.17131E+01    7.46268E-02    -5.83109E+00
1483    7.19462E+02    1.18150E+01    7.58678E-02    -8.37258E+00
1484    7.32029E+02    1.12685E+01    8.09915E-02    -6.65345E+00
1485    7.09318E+02    1.13659E+01    7.86141E-02    -6.95988E+00
1486    7.22815E+02    1.23574E+01    7.71766E-02    -8.33290E+00
1487    7.46548E+02    1.21886E+01    7.56220E-02    -5.77204E+00
1488    7.25846E+02    1.20521E+01    7.99044E-02    -4.42065E+00
1489    7.63087E+02    1.25078E+01    7.69783E-02    -3.93327E+00
1490    7.02545E+02    1.22343E+01    7.57189E-02    -4.53432E+00
1491    7.35118E+02    1.26820E+01    8.01799E-02    -4.18631E+00
1492    6.73211E+02    1.25514E+01    7.50007E-02    -8.20189E-01
1493    6.77531E+02    1.21262E+01    7.91793E-02    -5.32014E+00
1494    7.12813E+02    1.22986E+01    7.76561E-02    -2.36559E+00
1495    7.07164E+02    1.22211E+01    7.75076E-02    -1.64581E+00
1496    6.76273E+02    1.17512E+01    7.48830E-02    -4.51661E+00
1497    6.93666E+02    1.25804E+01    7.44969E-02    -6.36983E+00
1498    6.85074E+02    1.23849E+01    7.61374E-02    -4.28811E-01
1499    6.77959E+02    1.28575E+01    7.64670E-02    -3.30104E-01
1500    6.62423E+02    1.30465E+01    7.63468E-02    3.08616E-01
1501    6.58053E+02    1.30585E+01    7.85545E-02    -2.77993E+00
1502    6.54505E+02    1.21687E+01    7.59974E-02    1.04778E+00
1503    6.69307E+02    1.31128E+01    7.39946E-02    2.77167E+00
1504    6.82720E+02    1.32153E+01    7.76975E-02    2.03851E+00
1505    6.69292E+02    1.33302E+01    7.63054E-02    1.17823E+00
1506    6.60813E+02    1.28796E+01    7.80860E-02    1.02296E+00
1507    6.67046E+02    1.33381E+01    7.88973E-02    2.93260E+00
1508    6.67049E+02    1.37617E+01    7.52758E-02    1.35494E+00
1509    6.44361E+02    1.32611E+01    7.29887E-02    2.89408E+00
1510    6.35618E+02    1.37808E+01    7.77732E-02    2.26708E+00
1511    6.33128E+02    1.35214E+01    7.56676E-02    2.58818E+00
1512    6.52415E+02    1.34896E+01    7.20054E-02    5.81316E-01
1513    6.32137E+02    1.38437E+01    7.17574E-02    1.66437E+00
1514    6.46404E+02    1.39965E+01    7.53462E-02    2.51449E+00
1515    6.41351E+02    1.35194E+01    7.37754E-02    2.55567E+00
1516    6.28998E+02    1.41388E+01    7.66124E-02    2.51078E+00
1517    6.24798E+02    1.40419E+01    7.13104E-02    5.64685E+00
1518    6.16252E+02    1.37143E+01    7.71860E-02    1.74260E+00
1519    6.31890E+02    1.40199E+01    7.48949E-02    3.71001E+00
1520    6.20714E+02    1.49246E+01    7.51724E-02    2.32484E+00
1521    6.40012E+02    1.45583E+01    7.28467E-02    5.03229E+00
1522    5.94715E+02    1.47131E+01    7.39621E-02    6.54375E+00
1523    6.12000E+02    1.44913E+01    7.40314E-02    3.64880E+00
1524    6.40179E+02    1.56345E+01    7.47425E-02    7.03949E+00
1525    6.05560E+02    1.45303E+01    7.46891E-02    2.27082E+00
1526    5.91731E+02    1.53544E+01    7.48091E-02    5.84281E+00
1527    5.80720E+02    1.55782E+01    7.64023E-02    2.96231E+00
1528    5.92965E+02    1.42742E+01    7.37324E-02    4.93370E+00
1529    5.86032E+02    1.53254E+01    7.34737E-02    4.30075E+00
1530    5.92139E+02    1.57084E+01    7.16405E-02    7.76674E+00
1531    6.11802E+02    1.57007E+01    7.34132E-02    6.03889E+00
1532    5.91968E+02    1.53964E+01    7.61513E-02    5.17506E+00
1533    5.87283E+02    1.58527E+01    7.64716E-02    1.00792E+01
1534    5.84254E+02    1.62972E+01    7.52816E-02    7.63725E+00
1535    5.72755E+02    1.49897E+01    7.33228E-02    6.40676E+00
1536    5.68864E+02    1.56686E+01    7.54362E-02    4.29017E+00
1537    5.49442E+02    1.60754E+01    7.41459E-02    5.36449E+00
1538    5.63311E+02    1.65414E+01    7.41930E-02    5.88678E+00
1539    5.57397E+02    1.66887E+01    7.31837E-02    3.75229E+00
1540    5.53517E+02    1.71086E+01    7.27750E-02    5.94751E+00
1541    5.41771E+02    1.66987E+01    7.45893E-02    4.71653E+00
1542    5.62625E+02    1.67405E+01    7.74784E-02    6.62370E+00
1543    5.56693E+02    1.68595E+01    7.24576E-02    6.72310E+00
1544    5.46920E+02    1.75816E+01    7.56788E-02    6.62247E+00
1545    5.47466E+02    1.67113E+01    7.00146E-02    7.21624E+00
1546    5.59570E+02    1.77442E+01    7.31694E-02    5.70106E+00
