#  L    TT    EE     BB    EB
92    2.85632E+03    6.70176E-01    3.20525E-03    -2.27466E+01
93    2.41887E+03    5.82392E-01    2.79945E-03    -1.76677E+01
94    2.27847E+03    7.33018E-01    2.44713E-03    -1.89659E+01
95    2.38743E+03    6.47068E-01    2.59242E-03    -1.38068E+01
96    2.83871E+03    7.37865E-01    3.00736E-03    -2.57753E+01
97    2.65242E+03    6.99104E-01    3.19671E-03    -1.91652E+01
98    2.35525E+03    7.58507E-01    2.93415E-03    -1.92263E+01
99    2.45606E+03    7.54959E-01    3.04758E-03    -2.17195E+01
100    2.62336E+03    7.39660E-01    2.90894E-03    -2.30257E+01
101    2.71474E+03    7.99479E-01    3.68689E-03    -2.66627E+01
102    3.41549E+03    8.44407E-01    2.93924E-03    -2.96769E+01
103    2.62678E+03    6.68740E-01    3.25762E-03    -2.23976E+01
104    2.49377E+03    7.15572E-01    3.15607E-03    -2.08757E+01
105    2.91526E+03    8.43971E-01    3.46181E-03    -2.81479E+01
106    2.83209E+03    9.33501E-01    3.25444E-03    -2.82788E+01
107    2.74986E+03    8.45916E-01    3.53026E-03    -2.44812E+01
108    2.77192E+03    8.11881E-01    4.57576E-03    -2.31014E+01
109    3.21838E+03    9.92833E-01    3.99937E-03    -3.47398E+01
110    2.47744E+03    7.43397E-01    3.97309E-03    -2.44801E+01
111    2.93023E+03    1.05944E+00    2.66944E-03    -3.46914E+01
112    3.10385E+03    8.69595E-01    3.72363E-03    -3.02515E+01
113    3.38480E+03    1.06287E+00    4.11187E-03    -3.56419E+01
114    2.93507E+03    8.96669E-01    3.71834E-03    -2.89057E+01
115    3.30924E+03    8.58829E-01    4.61919E-03    -3.23877E+01
116    3.58641E+03    9.71423E-01    4.60699E-03    -3.58257E+01
117    3.03362E+03    1.04293E+00    5.01097E-03    -3.21032E+01
118    3.26055E+03    1.03848E+00    4.12923E-03    -3.38701E+01
119    3.45722E+03    1.03600E+00    4.61695E-03    -3.32956E+01
120    2.81985E+03    1.05509E+00    4.47559E-03    -3.30483E+01
121    3.44362E+03    8.83973E-01    5.74827E-03    -3.79412E+01
122    3.52049E+03    1.05105E+00    4.76079E-03    -4.03328E+01
123    2.79702E+03    1.02916E+00    5.12377E-03    -3.20590E+01
124    3.90671E+03    1.29668E+00    5.03482E-03    -5.01820E+01
125    2.70318E+03    1.04778E+00    4.42897E-03    -3.17049E+01
126    3.93103E+03    1.11984E+00    5.00296E-03    -4.35803E+01
127    3.71880E+03    1.00417E+00    4.69487E-03    -3.65489E+01
128    3.03746E+03    1.02152E+00    4.34597E-03    -3.11361E+01
129    3.37244E+03    1.08471E+00    5.66464E-03    -3.52917E+01
130    3.55538E+03    8.34142E-01    5.67499E-03    -3.05242E+01
131    3.16401E+03    1.09504E+00    5.55101E-03    -3.72612E+01
132    3.38682E+03    1.09477E+00    5.74613E-03    -3.82900E+01
133    3.39554E+03    9.57886E-01    6.24383E-03    -3.34922E+01
134    4.30886E+03    1.10120E+00    5.54065E-03    -4.77139E+01
135    4.11637E+03    1.22537E+00    4.93158E-03    -4.42829E+01
136    4.26539E+03    1.18671E+00    5.89663E-03    -4.54112E+01
137    3.17745E+03    9.39373E-01    6.07254E-03    -3.30806E+01
138    3.16324E+03    1.24735E+00    5.31431E-03    -4.27633E+01
139    4.17561E+03    1.22747E+00    6.20894E-03    -4.70684E+01
140    3.95881E+03    1.13387E+00    5.21630E-03    -3.94635E+01
141    3.71598E+03    1.04761E+00    6.51904E-03    -4.31116E+01
142    4.12593E+03    1.06262E+00    6.22900E-03    -4.56832E+01
143    4.61385E+03    1.14351E+00    5.86515E-03    -4.84038E+01
144    4.59485E+03    1.19816E+00    6.30396E-03    -5.24839E+01
145    4.88700E+03    1.23170E+00    6.51448E-03    -5.27100E+01
146    3.80369E+03    1.05886E+00    6.08275E-03    -3.88432E+01
147    4.12617E+03    1.07342E+00    5.94972E-03    -4.27064E+01
148    4.99073E+03    1.26873E+00    7.20770E-03    -5.64999E+01
149    3.93352E+03    1.13647E+00    6.71986E-03    -4.29167E+01
150    4.08108E+03    1.10161E+00    6.91166E-03    -4.49206E+01
151    4.58364E+03    1.10918E+00    6.01797E-03    -4.90915E+01
152    3.76792E+03    9.99887E-01    6.99052E-03    -3.62651E+01
153    4.55887E+03    9.71028E-01    6.60073E-03    -4.31145E+01
154    4.05862E+03    1.26583E+00    7.04898E-03    -4.74658E+01
155    4.81359E+03    1.12747E+00    7.73911E-03    -5.18846E+01
156    4.52535E+03    1.17744E+00    7.31901E-03    -5.14966E+01
157    4.03349E+03    1.00776E+00    7.19329E-03    -4.30653E+01
158    4.95358E+03    9.96008E-01    6.62640E-03    -4.63670E+01
159    4.09632E+03    1.01745E+00    7.98777E-03    -3.79652E+01
160    4.75156E+03    1.02902E+00    8.02273E-03    -4.53248E+01
161    4.85504E+03    9.80902E-01    9.80772E-03    -4.42070E+01
162    4.93474E+03    9.15187E-01    8.96069E-03    -3.86695E+01
163    4.58665E+03    9.66623E-01    7.97554E-03    -4.45347E+01
164    4.80426E+03    1.13229E+00    7.79226E-03    -5.09164E+01
165    4.70845E+03    9.74532E-01    7.51004E-03    -4.59525E+01
166    4.75142E+03    9.28641E-01    8.51867E-03    -4.37505E+01
167    5.07000E+03    1.10562E+00    8.45537E-03    -4.74736E+01
168    5.09186E+03    8.66342E-01    9.45974E-03    -4.42278E+01
169    5.23536E+03    9.49423E-01    8.56734E-03    -4.37842E+01
170    4.80141E+03    9.75203E-01    9.40608E-03    -4.39329E+01
171    5.49849E+03    9.78202E-01    8.88791E-03    -4.68601E+01
172    4.04618E+03    8.57026E-01    8.99438E-03    -3.78413E+01
173    5.14345E+03    8.56461E-01    9.40831E-03    -4.16508E+01
174    4.47037E+03    1.02360E+00    1.00623E-02    -3.43409E+01
175    4.73845E+03    9.55385E-01    8.80046E-03    -3.97198E+01
176    5.31159E+03    8.87807E-01    9.24378E-03    -4.06470E+01
177    5.57527E+03    9.22844E-01    1.10026E-02    -4.35587E+01
178    5.46986E+03    9.03144E-01    1.17122E-02    -4.38655E+01
179    4.94416E+03    8.44175E-01    9.61457E-03    -3.20238E+01
180    5.27159E+03    8.18643E-01    1.03043E-02    -3.70908E+01
181    4.97403E+03    8.54649E-01    1.10353E-02    -3.52292E+01
182    5.45983E+03    7.61606E-01    9.44407E-03    -3.54446E+01
183    5.64228E+03    9.46348E-01    1.09241E-02    -4.45047E+01
184    5.55875E+03    7.69097E-01    1.05309E-02    -3.45024E+01
185    4.77941E+03    7.84726E-01    1.13841E-02    -2.97583E+01
186    5.68027E+03    7.75816E-01    1.19966E-02    -3.31974E+01
187    5.52158E+03    7.66895E-01    1.03834E-02    -3.35435E+01
188    5.79935E+03    7.58015E-01    1.23776E-02    -3.02872E+01
189    5.26199E+03    7.64212E-01    1.15159E-02    -2.71451E+01
190    4.54364E+03    7.42657E-01    1.37759E-02    -2.38014E+01
191    6.54959E+03    8.15960E-01    1.38056E-02    -3.65802E+01
192    5.45203E+03    7.18503E-01    1.12683E-02    -2.60380E+01
193    5.05995E+03    7.14996E-01    1.21011E-02    -2.15792E+01
194    5.61004E+03    7.52420E-01    1.28249E-02    -2.58853E+01
195    4.74204E+03    7.72334E-01    1.08871E-02    -2.42333E+01
196    5.80565E+03    6.79152E-01    1.35893E-02    -1.98097E+01
197    5.08043E+03    6.36658E-01    1.34059E-02    -2.20938E+01
198    5.60304E+03    7.86273E-01    1.22811E-02    -1.99193E+01
199    5.71834E+03    7.99314E-01    1.19032E-02    -2.23024E+01
200    5.18705E+03    6.88063E-01    1.44075E-02    -1.48891E+01
201    5.81777E+03    6.65061E-01    1.47022E-02    -1.87268E+01
202    5.06975E+03    5.62661E-01    1.42238E-02    -1.17470E+01
203    5.82134E+03    6.61028E-01    1.44134E-02    -1.02488E+01
204    5.46568E+03    6.33305E-01    1.31382E-02    -1.26983E+01
205    5.31814E+03    6.50420E-01    1.26537E-02    -1.31696E+01
206    5.59218E+03    7.09249E-01    1.29676E-02    -1.10815E+01
207    5.84250E+03    6.44816E-01    1.40938E-02    -6.79451E+00
208    4.99302E+03    6.57714E-01    1.33387E-02    -6.09789E+00
209    5.77999E+03    6.98806E-01    1.31342E-02    -6.53624E+00
210    5.68489E+03    7.42079E-01    1.38455E-02    -6.51858E+00
211    5.45564E+03    7.53399E-01    1.48605E-02    1.07927E+00
212    5.10891E+03    7.60308E-01    1.39187E-02    -3.55719E+00
213    5.15091E+03    7.38204E-01    1.67767E-02    6.64182E-01
214    5.90333E+03    8.08665E-01    1.31106E-02    2.93199E+00
215    6.78748E+03    8.03404E-01    1.52337E-02    1.23516E-03
216    5.38729E+03    7.20053E-01    1.63671E-02    7.68557E+00
217    5.46307E+03    7.68256E-01    1.61730E-02    1.67817E+00
218    5.75921E+03    7.93342E-01    1.49138E-02    4.66147E+00
219    5.37372E+03    7.62334E-01    1.59937E-02    8.69304E+00
220    5.60277E+03    8.70591E-01    1.50628E-02    9.56130E+00
221    6.92639E+03    9.15216E-01    1.42179E-02    1.35105E+01
222    5.46216E+03    8.39750E-01    1.59922E-02    1.31507E+01
223    5.13419E+03    9.32614E-01    1.75694E-02    1.18469E+01
224    5.15958E+03    9.13549E-01    1.59784E-02    1.53190E+01
225    6.21037E+03    9.52258E-01    1.84095E-02    2.07214E+01
226    5.81944E+03    1.03306E+00    1.72693E-02    2.56006E+01
227    5.42443E+03    9.78283E-01    1.51214E-02    1.56359E+01
228    5.78703E+03    1.12809E+00    1.77677E-02    2.52788E+01
229    5.22850E+03    1.02881E+00    1.72008E-02    2.29230E+01
230    5.36842E+03    1.14560E+00    1.69837E-02    2.86414E+01
231    6.12119E+03    1.13874E+00    1.85490E-02    3.18371E+01
232    5.32239E+03    1.06994E+00    1.58416E-02    2.23209E+01
233    6.07842E+03    1.40884E+00    1.68831E-02    3.64218E+01
234    5.38584E+03    1.26931E+00    1.87456E-02    3.29599E+01
