# L    TT    EE    BB    TE    PP    TP    EP
53    1.48253E+03    1.43450E-01    4.68894E-05    -5.24658E-02    1.32300E-07    7.41972E-04    -7.74870E-07
54    1.50318E+03    1.52104E-01    4.79097E-05    -2.80844E-01    1.31729E-07    7.27990E-04    -8.98392E-07
55    1.52394E+03    1.61058E-01    4.89098E-05    -5.21397E-01    1.31145E-07    7.14537E-04    -9.61189E-07
56    1.54491E+03    1.70310E-01    4.98890E-05    -7.74987E-01    1.30550E-07    7.01618E-04    -9.39994E-07
57    1.56621E+03    1.79857E-01    5.08462E-05    -1.04248E+00    1.29944E-07    6.89193E-04    -8.52615E-07
58    1.58778E+03    1.89697E-01    5.17803E-05    -1.32408E+00    1.29328E-07    6.77208E-04    -7.27075E-07
59    1.60954E+03    1.99829E-01    5.26901E-05    -1.61967E+00    1.28703E-07    6.65609E-04    -5.91346E-07
60    1.63148E+03    2.10247E-01    5.35748E-05    -1.92876E+00    1.28068E-07    6.54343E-04    -4.73347E-07
61    1.65359E+03    2.20941E-01    5.44332E-05    -2.25086E+00    1.27424E-07    6.43361E-04    -3.96037E-07
62    1.67588E+03    2.31910E-01    5.52648E-05    -2.58598E+00    1.26774E-07    6.32631E-04    -3.62678E-07
63    1.69838E+03    2.43150E-01    5.60692E-05    -2.93427E+00    1.26116E-07    6.22124E-04    -3.71622E-07
64    1.72108E+03    2.54659E-01    5.68458E-05    -3.29588E+00    1.25454E-07    6.11811E-04    -4.21224E-07
65    1.74402E+03    2.66436E-01    5.75941E-05    -3.67099E+00    1.24786E-07    6.01665E-04    -5.09842E-07
66    1.76722E+03    2.78474E-01    5.83137E-05    -4.05982E+00    1.24116E-07    5.91670E-04    -6.32859E-07
67    1.79068E+03    2.90766E-01    5.90040E-05    -4.46185E+00    1.23442E-07    5.81859E-04    -7.73723E-07
68    1.81435E+03    3.03303E-01    5.96642E-05    -4.87632E+00    1.22765E-07    5.72277E-04    -9.12924E-07
69    1.83818E+03    3.16076E-01    6.02936E-05    -5.30255E+00    1.22087E-07    5.62969E-04    -1.03098E-06
70    1.86215E+03    3.29079E-01    6.08917E-05    -5.74002E+00    1.21406E-07    5.53981E-04    -1.10842E-06
71    1.88624E+03    3.42308E-01    6.14578E-05    -6.18853E+00    1.20725E-07    5.45345E-04    -1.13120E-06
72    1.91056E+03    3.55759E-01    6.19920E-05    -6.64899E+00    1.20042E-07    5.37043E-04    -1.10675E-06
73    1.93522E+03    3.69425E-01    6.24943E-05    -7.12236E+00    1.19358E-07    5.29041E-04    -1.04790E-06
74    1.96024E+03    3.83297E-01    6.29648E-05    -7.60855E+00    1.18673E-07    5.21307E-04    -9.67429E-07
75    1.98561E+03    3.97361E-01    6.34038E-05    -8.10711E+00    1.17986E-07    5.13810E-04    -8.78128E-07
76    2.01129E+03    4.11604E-01    6.38112E-05    -8.61750E+00    1.17299E-07    5.06519E-04    -7.91596E-07
77    2.03716E+03    4.26015E-01    6.41868E-05    -9.13828E+00    1.16611E-07    4.99406E-04    -7.14763E-07
78    2.06320E+03    4.40581E-01    6.45305E-05    -9.66897E+00    1.15922E-07    4.92446E-04    -6.53386E-07
79    2.08945E+03    4.55290E-01    6.48420E-05    -1.02094E+01    1.15234E-07    4.85614E-04    -6.13218E-07
80    2.11593E+03    4.70133E-01    6.51212E-05    -1.07596E+01    1.14546E-07    4.78884E-04    -6.00008E-07
81    2.14267E+03    4.85096E-01    6.53677E-05    -1.13193E+01    1.13859E-07    4.72238E-04    -6.17271E-07
82    2.16967E+03    5.00169E-01    6.55818E-05    -1.18880E+01    1.13174E-07    4.65681E-04    -6.59613E-07
83    2.19693E+03    5.15342E-01    6.57635E-05    -1.24656E+01    1.12489E-07    4.59227E-04    -7.19417E-07
84    2.22443E+03    5.30603E-01    6.59128E-05    -1.30514E+01    1.11807E-07    4.52888E-04    -7.89075E-07
85    2.25216E+03    5.45941E-01    6.60300E-05    -1.36453E+01    1.11126E-07    4.46678E-04    -8.60986E-07
86    2.28014E+03    5.61346E-01    6.61151E-05    -1.42466E+01    1.10448E-07    4.40608E-04    -9.28692E-07
87    2.30831E+03    5.76805E-01    6.61684E-05    -1.48549E+01    1.09772E-07    4.34678E-04    -9.90301E-07
88    2.33667E+03    5.92304E-01    6.61900E-05    -1.54696E+01    1.09099E-07    4.28887E-04    -1.04506E-06
89    2.36523E+03    6.07831E-01    6.61801E-05    -1.60904E+01    1.08429E-07    4.23234E-04    -1.09222E-06
90    2.39398E+03    6.23368E-01    6.61390E-05    -1.67169E+01    1.07761E-07    4.17718E-04    -1.13102E-06
91    2.42293E+03    6.38902E-01    6.60668E-05    -1.73485E+01    1.07096E-07    4.12337E-04    -1.16096E-06
92    2.45210E+03    6.54417E-01    6.59643E-05    -1.79851E+01    1.06435E-07    4.07087E-04    -1.18249E-06
93    2.48148E+03    6.69900E-01    6.58320E-05    -1.86262E+01    1.05776E-07    4.01964E-04    -1.19630E-06
94    2.51108E+03    6.85336E-01    6.56706E-05    -1.92715E+01    1.05121E-07    3.96962E-04    -1.20308E-06
95    2.54091E+03    7.00712E-01    6.54807E-05    -1.99205E+01    1.04468E-07    3.92078E-04    -1.20352E-06
96    2.57097E+03    7.16013E-01    6.52628E-05    -2.05728E+01    1.03819E-07    3.87307E-04    -1.19833E-06
97    2.60124E+03    7.31224E-01    6.50177E-05    -2.12279E+01    1.03174E-07    3.82645E-04    -1.18818E-06
98    2.63175E+03    7.46330E-01    6.47460E-05    -2.18854E+01    1.02531E-07    3.78087E-04    -1.17376E-06
99    2.66247E+03    7.61316E-01    6.44484E-05    -2.25448E+01    1.01892E-07    3.73628E-04    -1.15577E-06
100    2.69341E+03    7.76172E-01    6.41253E-05    -2.32055E+01    1.01257E-07    3.69265E-04    -1.13490E-06
101    2.72457E+03    7.90882E-01    6.37775E-05    -2.38671E+01    1.00625E-07    3.64992E-04    -1.11183E-06
102    2.75594E+03    8.05424E-01    6.34057E-05    -2.45293E+01    9.99961E-08    3.60806E-04    -1.08726E-06
