# L    TT    EE    BB    TE    PP    TP    EP
531    2.62031E+03    6.68415E+00    3.45015E-06    -2.20045E+01    1.64535E-08    3.12906E-06    3.06571E-07
532    2.62123E+03    6.71780E+00    3.44690E-06    -2.06656E+01    1.64049E-08    3.13019E-06    2.90292E-07
533    2.62192E+03    6.75677E+00    3.44387E-06    -1.93277E+01    1.63565E-08    3.13252E-06    2.74081E-07
534    2.62236E+03    6.80106E+00    3.44105E-06    -1.79919E+01    1.63083E-08    3.13603E-06    2.57937E-07
535    2.62257E+03    6.85071E+00    3.43840E-06    -1.66587E+01    1.62603E-08    3.14071E-06    2.41855E-07
536    2.62253E+03    6.90573E+00    3.43590E-06    -1.53291E+01    1.62125E-08    3.14654E-06    2.25833E-07
537    2.62226E+03    6.96610E+00    3.43353E-06    -1.40038E+01    1.61649E-08    3.15350E-06    2.09867E-07
538    2.62175E+03    7.03187E+00    3.43127E-06    -1.26836E+01    1.61175E-08    3.16158E-06    1.93955E-07
539    2.62102E+03    7.10300E+00    3.42909E-06    -1.13693E+01    1.60704E-08    3.17076E-06    1.78092E-07
540    2.62003E+03    7.17951E+00    3.42697E-06    -1.00616E+01    1.60233E-08    3.18102E-06    1.62276E-07
541    2.61882E+03    7.26141E+00    3.42489E-06    -8.76122E+00    1.59765E-08    3.19235E-06    1.46504E-07
542    2.61739E+03    7.34869E+00    3.42282E-06    -7.46901E+00    1.59299E-08    3.20473E-06    1.30773E-07
543    2.61571E+03    7.44135E+00    3.42073E-06    -6.18566E+00    1.58835E-08    3.21814E-06    1.15079E-07
544    2.61381E+03    7.53939E+00    3.41861E-06    -4.91193E+00    1.58373E-08    3.23257E-06    9.94184E-08
545    2.61169E+03    7.64277E+00    3.41643E-06    -3.64851E+00    1.57912E-08    3.24800E-06    8.37893E-08
546    2.60934E+03    7.75151E+00    3.41417E-06    -2.39610E+00    1.57454E-08    3.26442E-06    6.81879E-08
547    2.60677E+03    7.86557E+00    3.41180E-06    -1.15541E+00    1.56997E-08    3.28180E-06    5.26111E-08
548    2.60398E+03    7.98488E+00    3.40931E-06    7.28684E-02    1.56542E-08    3.30013E-06    3.70557E-08
549    2.60096E+03    8.10958E+00    3.40666E-06    1.28801E+00    1.56090E-08    3.31940E-06    2.15185E-08
550    2.59772E+03    8.23944E+00    3.40383E-06    2.48932E+00    1.55639E-08    3.33958E-06    5.99638E-09
551    2.59428E+03    8.37462E+00    3.40081E-06    3.67607E+00    1.55189E-08    3.36066E-06    -9.51297E-09
552    2.59061E+03    8.51496E+00    3.39758E-06    4.84755E+00    1.54742E-08    3.38264E-06    -2.50082E-08
553    2.58674E+03    8.66046E+00    3.39416E-06    6.00306E+00    1.54297E-08    3.40549E-06    -4.04871E-08
554    2.58267E+03    8.81112E+00    3.39052E-06    7.14190E+00    1.53853E-08    3.42921E-06    -5.59475E-08
555    2.57839E+03    8.96685E+00    3.38668E-06    8.26336E+00    1.53411E-08    3.45379E-06    -7.13870E-08
556    2.57391E+03    9.12767E+00    3.38263E-06    9.36672E+00    1.52971E-08    3.47921E-06    -8.68034E-08
557    2.56924E+03    9.29348E+00    3.37836E-06    1.04513E+01    1.52533E-08    3.50547E-06    -1.02195E-07
558    2.56437E+03    9.46428E+00    3.37388E-06    1.15165E+01    1.52096E-08    3.53255E-06    -1.17558E-07
559    2.55931E+03    9.64001E+00    3.36919E-06    1.25617E+01    1.51662E-08    3.56044E-06    -1.32892E-07
560    2.55407E+03    9.82065E+00    3.36428E-06    1.35863E+01    1.51229E-08    3.58914E-06    -1.48194E-07
561    2.54864E+03    1.00061E+01    3.35914E-06    1.45896E+01    1.50798E-08    3.61863E-06    -1.63462E-07
562    2.54303E+03    1.01963E+01    3.35379E-06    1.55711E+01    1.50368E-08    3.64890E-06    -1.78693E-07
563    2.53723E+03    1.03912E+01    3.34821E-06    1.65302E+01    1.49941E-08    3.67993E-06    -1.93885E-07
564    2.53127E+03    1.05908E+01    3.34241E-06    1.74662E+01    1.49515E-08    3.71173E-06    -2.09036E-07
565    2.52513E+03    1.07950E+01    3.33637E-06    1.83786E+01    1.49091E-08    3.74427E-06    -2.24145E-07
566    2.51882E+03    1.10038E+01    3.33011E-06    1.92670E+01    1.48669E-08    3.77755E-06    -2.39208E-07
567    2.51235E+03    1.12170E+01    3.32362E-06    2.01308E+01    1.48248E-08    3.81156E-06    -2.54223E-07
568    2.50571E+03    1.14346E+01    3.31689E-06    2.09693E+01    1.47829E-08    3.84628E-06    -2.69188E-07
569    2.49891E+03    1.16566E+01    3.30992E-06    2.17823E+01    1.47412E-08    3.88170E-06    -2.84101E-07
570    2.49195E+03    1.18828E+01    3.30272E-06    2.25690E+01    1.46996E-08    3.91782E-06    -2.98960E-07
571    2.48484E+03    1.21132E+01    3.29528E-06    2.33291E+01    1.46583E-08    3.95462E-06    -3.13762E-07
572    2.47758E+03    1.23477E+01    3.28759E-06    2.40621E+01    1.46170E-08    3.99209E-06    -3.28505E-07
573    2.47018E+03    1.25862E+01    3.27966E-06    2.47675E+01    1.45760E-08    4.03022E-06    -3.43187E-07
574    2.46263E+03    1.28287E+01    3.27149E-06    2.54451E+01    1.45351E-08    4.06900E-06    -3.57806E-07
575    2.45496E+03    1.30751E+01    3.26307E-06    2.60944E+01    1.44944E-08    4.10841E-06    -3.72359E-07
576    2.44715E+03    1.33252E+01    3.25439E-06    2.67150E+01    1.44539E-08    4.14846E-06    -3.86845E-07
577    2.43923E+03    1.35791E+01    3.24547E-06    2.73065E+01    1.44135E-08    4.18912E-06    -4.01260E-07
578    2.43119E+03    1.38365E+01    3.23629E-06    2.78684E+01    1.43733E-08    4.23038E-06    -4.15603E-07
579    2.42303E+03    1.40975E+01    3.22686E-06    2.84006E+01    1.43332E-08    4.27224E-06    -4.29872E-07
580    2.41476E+03    1.43619E+01    3.21716E-06    2.89026E+01    1.42933E-08    4.31469E-06    -4.44064E-07
581    2.40639E+03    1.46297E+01    3.20721E-06    2.93740E+01    1.42536E-08    4.35770E-06    -4.58177E-07
582    2.39793E+03    1.49006E+01    3.19700E-06    2.98144E+01    1.42140E-08    4.40128E-06    -4.72208E-07
583    2.38936E+03    1.51747E+01    3.18652E-06    3.02235E+01    1.41746E-08    4.44541E-06    -4.86157E-07
584    2.38071E+03    1.54520E+01    3.17577E-06    3.06010E+01    1.41354E-08    4.49008E-06    -5.00019E-07
585    2.37197E+03    1.57320E+01    3.16476E-06    3.09464E+01    1.40963E-08    4.53528E-06    -5.13794E-07
586    2.36315E+03    1.60150E+01    3.15348E-06    3.12595E+01    1.40573E-08    4.58099E-06    -5.27478E-07
587    2.35426E+03    1.63007E+01    3.14192E-06    3.15401E+01    1.40186E-08    4.62722E-06    -5.41070E-07
588    2.34530E+03    1.65890E+01    3.13009E-06    3.17880E+01    1.39800E-08    4.67394E-06    -5.54567E-07
589    2.33627E+03    1.68799E+01    3.11799E-06    3.20029E+01    1.39415E-08    4.72114E-06    -5.67968E-07
590    2.32718E+03    1.71732E+01    3.10561E-06    3.21845E+01    1.39032E-08    4.76882E-06    -5.81269E-07
591    2.31803E+03    1.74688E+01    3.09294E-06    3.23327E+01    1.38650E-08    4.81696E-06    -5.94469E-07
592    2.30884E+03    1.77665E+01    3.08000E-06    3.24472E+01    1.38270E-08    4.86555E-06    -6.07565E-07
593    2.29959E+03    1.80664E+01    3.06677E-06    3.25278E+01    1.37892E-08    4.91459E-06    -6.20556E-07
594    2.29030E+03    1.83682E+01    3.05326E-06    3.25745E+01    1.37515E-08    4.96406E-06    -6.33438E-07
595    2.28098E+03    1.86719E+01    3.03945E-06    3.25871E+01    1.37139E-08    5.01394E-06    -6.46210E-07
596    2.27163E+03    1.89774E+01    3.02536E-06    3.25654E+01    1.36765E-08    5.06424E-06    -6.58870E-07
597    2.26224E+03    1.92844E+01    3.01098E-06    3.25094E+01    1.36393E-08    5.11493E-06    -6.71415E-07
598    2.25283E+03    1.95929E+01    2.99630E-06    3.24189E+01    1.36022E-08    5.16601E-06    -6.83843E-07
599    2.24341E+03    1.99028E+01    2.98132E-06    3.22937E+01    1.35652E-08    5.21746E-06    -6.96151E-07
600    2.23397E+03    2.02140E+01    2.96605E-06    3.21340E+01    1.35284E-08    5.26928E-06    -7.08338E-07
601    2.22453E+03    2.05263E+01    2.95048E-06    3.19396E+01    1.34918E-08    5.32146E-06    -7.20402E-07
602    2.21507E+03    2.08396E+01    2.93462E-06    3.17107E+01    1.34553E-08    5.37398E-06    -7.32341E-07
603    2.20563E+03    2.11539E+01    2.91849E-06    3.14472E+01    1.34189E-08    5.42683E-06    -7.44155E-07
604    2.19618E+03    2.14689E+01    2.90210E-06    3.11491E+01    1.33827E-08    5.48000E-06    -7.55844E-07
605    2.18674E+03    2.17845E+01    2.88547E-06    3.08164E+01    1.33466E-08    5.53348E-06    -7.67407E-07
606    2.17732E+03    2.21007E+01    2.86860E-06    3.04494E+01    1.33106E-08    5.58727E-06    -7.78843E-07
607    2.16792E+03    2.24174E+01    2.85152E-06    3.00478E+01    1.32748E-08    5.64134E-06    -7.90152E-07
608    2.15854E+03    2.27343E+01    2.83422E-06    2.96120E+01    1.32392E-08    5.69570E-06    -8.01332E-07
609    2.14920E+03    2.30514E+01    2.81674E-06    2.91419E+01    1.32037E-08    5.75032E-06    -8.12384E-07
610    2.13988E+03    2.33685E+01    2.79908E-06    2.86378E+01    1.31683E-08    5.80520E-06    -8.23307E-07
611    2.13061E+03    2.36854E+01    2.78125E-06    2.80996E+01    1.31331E-08    5.86033E-06    -8.34100E-07
612    2.12137E+03    2.40021E+01    2.76327E-06    2.75274E+01    1.30980E-08    5.91569E-06    -8.44763E-07
613    2.11218E+03    2.43184E+01    2.74515E-06    2.69215E+01    1.30630E-08    5.97128E-06    -8.55295E-07
614    2.10305E+03    2.46343E+01    2.72691E-06    2.62821E+01    1.30282E-08    6.02709E-06    -8.65695E-07
615    2.09397E+03    2.49495E+01    2.70856E-06    2.56094E+01    1.29935E-08    6.08310E-06    -8.75964E-07
616    2.08496E+03    2.52640E+01    2.69010E-06    2.49037E+01    1.29590E-08    6.13930E-06    -8.86099E-07
617    2.07601E+03    2.55777E+01    2.67157E-06    2.41654E+01    1.29246E-08    6.19569E-06    -8.96101E-07
618    2.06714E+03    2.58905E+01    2.65296E-06    2.33947E+01    1.28903E-08    6.25225E-06    -9.05969E-07
619    2.05833E+03    2.62022E+01    2.63430E-06    2.25919E+01    1.28562E-08    6.30897E-06    -9.15702E-07
620    2.04961E+03    2.65127E+01    2.61559E-06    2.17574E+01    1.28222E-08    6.36585E-06    -9.25301E-07
621    2.04098E+03    2.68220E+01    2.59686E-06    2.08913E+01    1.27883E-08    6.42286E-06    -9.34763E-07
622    2.03244E+03    2.71298E+01    2.57810E-06    1.99940E+01    1.27546E-08    6.48000E-06    -9.44089E-07
623    2.02398E+03    2.74360E+01    2.55935E-06    1.90660E+01    1.27210E-08    6.53727E-06    -9.53278E-07
624    2.01563E+03    2.77406E+01    2.54060E-06    1.81074E+01    1.26875E-08    6.59464E-06    -9.62330E-07
625    2.00738E+03    2.80434E+01    2.52188E-06    1.71185E+01    1.26541E-08    6.65210E-06    -9.71243E-07
626    1.99924E+03    2.83442E+01    2.50319E-06    1.60997E+01    1.26209E-08    6.70966E-06    -9.80017E-07
627    1.99119E+03    2.86430E+01    2.48456E-06    1.50514E+01    1.25879E-08    6.76729E-06    -9.88652E-07
628    1.98328E+03    2.89395E+01    2.46599E-06    1.39737E+01    1.25549E-08    6.82499E-06    -9.97147E-07
629    1.97547E+03    2.92338E+01    2.44749E-06    1.28674E+01    1.25221E-08    6.88274E-06    -1.00550E-06
630    1.96778E+03    2.95256E+01    2.42909E-06    1.17328E+01    1.24894E-08    6.94054E-06    -1.01371E-06
631    1.96022E+03    2.98148E+01    2.41079E-06    1.05703E+01    1.24568E-08    6.99837E-06    -1.02179E-06
632    1.95278E+03    3.01014E+01    2.39262E-06    9.38040E+00    1.24244E-08    7.05622E-06    -1.02972E-06
633    1.94548E+03    3.03852E+01    2.37457E-06    8.16345E+00    1.23921E-08    7.11409E-06    -1.03750E-06
634    1.93831E+03    3.06660E+01    2.35667E-06    6.92000E+00    1.23599E-08    7.17195E-06    -1.04514E-06
635    1.93128E+03    3.09439E+01    2.33892E-06    5.65054E+00    1.23278E-08    7.22981E-06    -1.05264E-06
636    1.92440E+03    3.12185E+01    2.32135E-06    4.35557E+00    1.22959E-08    7.28765E-06    -1.05999E-06
637    1.91766E+03    3.14900E+01    2.30397E-06    3.03561E+00    1.22641E-08    7.34546E-06    -1.06720E-06
638    1.91106E+03    3.17580E+01    2.28678E-06    1.69121E+00    1.22324E-08    7.40323E-06    -1.07426E-06
639    1.90462E+03    3.20227E+01    2.26981E-06    3.22878E-01    1.22008E-08    7.46094E-06    -1.08118E-06
640    1.89833E+03    3.22836E+01    2.25306E-06    -1.06886E+00    1.21693E-08    7.51860E-06    -1.08795E-06
641    1.89220E+03    3.25410E+01    2.23655E-06    -2.48347E+00    1.21380E-08    7.57618E-06    -1.09457E-06
642    1.88623E+03    3.27945E+01    2.22030E-06    -3.92035E+00    1.21068E-08    7.63367E-06    -1.10104E-06
643    1.88043E+03    3.30441E+01    2.20431E-06    -5.37888E+00    1.20757E-08    7.69107E-06    -1.10736E-06
644    1.87478E+03    3.32896E+01    2.18860E-06    -6.85844E+00    1.20447E-08    7.74837E-06    -1.11353E-06
645    1.86931E+03    3.35310E+01    2.17319E-06    -8.35843E+00    1.20139E-08    7.80555E-06    -1.11956E-06
646    1.86401E+03    3.37681E+01    2.15808E-06    -9.87825E+00    1.19832E-08    7.86260E-06    -1.12543E-06
647    1.85888E+03    3.40008E+01    2.14329E-06    -1.14172E+01    1.19525E-08    7.91952E-06    -1.13115E-06
648    1.85392E+03    3.42290E+01    2.12884E-06    -1.29748E+01    1.19220E-08    7.97629E-06    -1.13672E-06
649    1.84914E+03    3.44526E+01    2.11473E-06    -1.45502E+01    1.18917E-08    8.03290E-06    -1.14213E-06
650    1.84454E+03    3.46716E+01    2.10099E-06    -1.61429E+01    1.18614E-08    8.08934E-06    -1.14739E-06
651    1.84013E+03    3.48858E+01    2.08761E-06    -1.77521E+01    1.18312E-08    8.14560E-06    -1.15250E-06
652    1.83589E+03    3.50953E+01    2.07461E-06    -1.93771E+01    1.18012E-08    8.20167E-06    -1.15746E-06
653    1.83184E+03    3.53000E+01    2.06196E-06    -2.10173E+01    1.17713E-08    8.25755E-06    -1.16226E-06
654    1.82798E+03    3.54997E+01    2.04967E-06    -2.26721E+01    1.17415E-08    8.31322E-06    -1.16691E-06
655    1.82432E+03    3.56944E+01    2.03772E-06    -2.43408E+01    1.17118E-08    8.36868E-06    -1.17140E-06
656    1.82084E+03    3.58842E+01    2.02611E-06    -2.60226E+01    1.16822E-08    8.42392E-06    -1.17575E-06
657    1.81756E+03    3.60688E+01    2.01484E-06    -2.77168E+01    1.16527E-08    8.47893E-06    -1.17994E-06
658    1.81447E+03    3.62482E+01    2.00388E-06    -2.94227E+01    1.16233E-08    8.53370E-06    -1.18398E-06
659    1.81158E+03    3.64222E+01    1.99325E-06    -3.11396E+01    1.15941E-08    8.58822E-06    -1.18787E-06
660    1.80888E+03    3.65910E+01    1.98292E-06    -3.28668E+01    1.15649E-08    8.64249E-06    -1.19161E-06
661    1.80638E+03    3.67542E+01    1.97290E-06    -3.46035E+01    1.15359E-08    8.69650E-06    -1.19520E-06
662    1.80408E+03    3.69119E+01    1.96318E-06    -3.63491E+01    1.15070E-08    8.75023E-06    -1.19864E-06
663    1.80198E+03    3.70640E+01    1.95374E-06    -3.81027E+01    1.14782E-08    8.80369E-06    -1.20193E-06
664    1.80007E+03    3.72105E+01    1.94458E-06    -3.98636E+01    1.14494E-08    8.85686E-06    -1.20507E-06
665    1.79838E+03    3.73512E+01    1.93570E-06    -4.16310E+01    1.14208E-08    8.90973E-06    -1.20807E-06
666    1.79687E+03    3.74862E+01    1.92708E-06    -4.34043E+01    1.13924E-08    8.96230E-06    -1.21091E-06
667    1.79557E+03    3.76154E+01    1.91873E-06    -4.51826E+01    1.13640E-08    9.01456E-06    -1.21361E-06
668    1.79448E+03    3.77387E+01    1.91063E-06    -4.69652E+01    1.13357E-08    9.06650E-06    -1.21615E-06
669    1.79358E+03    3.78561E+01    1.90277E-06    -4.87514E+01    1.13075E-08    9.11810E-06    -1.21855E-06
670    1.79289E+03    3.79675E+01    1.89515E-06    -5.05404E+01    1.12794E-08    9.16937E-06    -1.22081E-06
671    1.79241E+03    3.80729E+01    1.88777E-06    -5.23314E+01    1.12515E-08    9.22030E-06    -1.22291E-06
672    1.79212E+03    3.81723E+01    1.88060E-06    -5.41237E+01    1.12236E-08    9.27087E-06    -1.22488E-06
673    1.79204E+03    3.82655E+01    1.87366E-06    -5.59165E+01    1.11959E-08    9.32108E-06    -1.22669E-06
674    1.79216E+03    3.83527E+01    1.86692E-06    -5.77091E+01    1.11682E-08    9.37091E-06    -1.22836E-06
675    1.79248E+03    3.84337E+01    1.86039E-06    -5.95006E+01    1.11407E-08    9.42037E-06    -1.22988E-06
676    1.79301E+03    3.85085E+01    1.85405E-06    -6.12904E+01    1.11132E-08    9.46945E-06    -1.23126E-06
677    1.79374E+03    3.85771E+01    1.84790E-06    -6.30777E+01    1.10859E-08    9.51812E-06    -1.23250E-06
678    1.79466E+03    3.86393E+01    1.84194E-06    -6.48615E+01    1.10586E-08    9.56640E-06    -1.23359E-06
679    1.79579E+03    3.86953E+01    1.83614E-06    -6.66411E+01    1.10315E-08    9.61426E-06    -1.23454E-06
680    1.79712E+03    3.87449E+01    1.83051E-06    -6.84157E+01    1.10044E-08    9.66170E-06    -1.23534E-06
681    1.79864E+03    3.87881E+01    1.82505E-06    -7.01844E+01    1.09775E-08    9.70872E-06    -1.23600E-06
682    1.80036E+03    3.88248E+01    1.81973E-06    -7.19465E+01    1.09506E-08    9.75530E-06    -1.23652E-06
683    1.80228E+03    3.88551E+01    1.81456E-06    -7.37012E+01    1.09239E-08    9.80143E-06    -1.23690E-06
684    1.80439E+03    3.88788E+01    1.80953E-06    -7.54476E+01    1.08972E-08    9.84711E-06    -1.23713E-06
685    1.80669E+03    3.88962E+01    1.80463E-06    -7.71853E+01    1.08707E-08    9.89233E-06    -1.23722E-06
686    1.80919E+03    3.89071E+01    1.79986E-06    -7.89129E+01    1.08442E-08    9.93708E-06    -1.23718E-06
687    1.81187E+03    3.89117E+01    1.79520E-06    -8.06308E+01    1.08178E-08    9.98135E-06    -1.23699E-06
688    1.81475E+03    3.89099E+01    1.79065E-06    -8.23380E+01    1.07916E-08    1.00251E-05    -1.23666E-06
689    1.81782E+03    3.89017E+01    1.78620E-06    -8.40331E+01    1.07654E-08    1.00684E-05    -1.23619E-06
690    1.82108E+03    3.88874E+01    1.78185E-06    -8.57155E+01    1.07393E-08    1.01112E-05    -1.23558E-06
691    1.82451E+03    3.88666E+01    1.77759E-06    -8.73849E+01    1.07134E-08    1.01535E-05    -1.23483E-06
692    1.82814E+03    3.88396E+01    1.77341E-06    -8.90408E+01    1.06875E-08    1.01952E-05    -1.23394E-06
693    1.83194E+03    3.88063E+01    1.76930E-06    -9.06824E+01    1.06617E-08    1.02365E-05    -1.23291E-06
694    1.83593E+03    3.87667E+01    1.76526E-06    -9.23081E+01    1.06360E-08    1.02772E-05    -1.23175E-06
695    1.84009E+03    3.87209E+01    1.76128E-06    -9.39179E+01    1.06104E-08    1.03173E-05    -1.23045E-06
696    1.84442E+03    3.86687E+01    1.75735E-06    -9.55105E+01    1.05849E-08    1.03569E-05    -1.22901E-06
697    1.84893E+03    3.86104E+01    1.75346E-06    -9.70856E+01    1.05594E-08    1.03959E-05    -1.22743E-06
698    1.85361E+03    3.85459E+01    1.74961E-06    -9.86420E+01    1.05341E-08    1.04344E-05    -1.22572E-06
699    1.85845E+03    3.84751E+01    1.74580E-06    -1.00179E+02    1.05088E-08    1.04723E-05    -1.22387E-06
700    1.86346E+03    3.83982E+01    1.74201E-06    -1.01697E+02    1.04837E-08    1.05096E-05    -1.22188E-06
701    1.86863E+03    3.83151E+01    1.73823E-06    -1.03195E+02    1.04586E-08    1.05463E-05    -1.21976E-06
702    1.87396E+03    3.82260E+01    1.73447E-06    -1.04671E+02    1.04337E-08    1.05824E-05    -1.21750E-06
703    1.87944E+03    3.81309E+01    1.73072E-06    -1.06127E+02    1.04088E-08    1.06180E-05    -1.21511E-06
704    1.88509E+03    3.80297E+01    1.72697E-06    -1.07559E+02    1.03840E-08    1.06529E-05    -1.21259E-06
705    1.89087E+03    3.79227E+01    1.72323E-06    -1.08969E+02    1.03593E-08    1.06872E-05    -1.20993E-06
706    1.89681E+03    3.78098E+01    1.71948E-06    -1.10354E+02    1.03346E-08    1.07209E-05    -1.20715E-06
707    1.90289E+03    3.76912E+01    1.71573E-06    -1.11716E+02    1.03101E-08    1.07540E-05    -1.20423E-06
708    1.90911E+03    3.75667E+01    1.71198E-06    -1.13054E+02    1.02856E-08    1.07865E-05    -1.20119E-06
709    1.91548E+03    3.74366E+01    1.70821E-06    -1.14365E+02    1.02613E-08    1.08184E-05    -1.19802E-06
710    1.92197E+03    3.73009E+01    1.70442E-06    -1.15652E+02    1.02370E-08    1.08497E-05    -1.19472E-06
711    1.92860E+03    3.71596E+01    1.70061E-06    -1.16912E+02    1.02128E-08    1.08804E-05    -1.19129E-06
712    1.93536E+03    3.70128E+01    1.69679E-06    -1.18144E+02    1.01887E-08    1.09104E-05    -1.18774E-06
713    1.94224E+03    3.68606E+01    1.69293E-06    -1.19349E+02    1.01647E-08    1.09399E-05    -1.18407E-06
714    1.94924E+03    3.67030E+01    1.68905E-06    -1.20525E+02    1.01407E-08    1.09687E-05    -1.18027E-06
715    1.95636E+03    3.65401E+01    1.68513E-06    -1.21674E+02    1.01169E-08    1.09969E-05    -1.17636E-06
716    1.96359E+03    3.63718E+01    1.68117E-06    -1.22793E+02    1.00931E-08    1.10245E-05    -1.17232E-06
717    1.97093E+03    3.61983E+01    1.67718E-06    -1.23882E+02    1.00694E-08    1.10515E-05    -1.16816E-06
718    1.97838E+03    3.60197E+01    1.67314E-06    -1.24940E+02    1.00458E-08    1.10778E-05    -1.16388E-06
719    1.98593E+03    3.58360E+01    1.66905E-06    -1.25967E+02    1.00223E-08    1.11035E-05    -1.15949E-06
720    1.99357E+03    3.56473E+01    1.66491E-06    -1.26963E+02    9.99883E-09    1.11286E-05    -1.15498E-06
721    2.00131E+03    3.54539E+01    1.66072E-06    -1.27928E+02    9.97547E-09    1.11531E-05    -1.15035E-06
722    2.00915E+03    3.52556E+01    1.65647E-06    -1.28861E+02    9.95219E-09    1.11769E-05    -1.14561E-06
723    2.01707E+03    3.50528E+01    1.65215E-06    -1.29762E+02    9.92899E-09    1.12001E-05    -1.14075E-06
724    2.02508E+03    3.48456E+01    1.64777E-06    -1.30630E+02    9.90587E-09    1.12226E-05    -1.13579E-06
725    2.03318E+03    3.46339E+01    1.64332E-06    -1.31465E+02    9.88283E-09    1.12445E-05    -1.13071E-06
726    2.04135E+03    3.44179E+01    1.63880E-06    -1.32267E+02    9.85987E-09    1.12658E-05    -1.12551E-06
727    2.04960E+03    3.41977E+01    1.63420E-06    -1.33035E+02    9.83699E-09    1.12864E-05    -1.12021E-06
728    2.05792E+03    3.39734E+01    1.62952E-06    -1.33770E+02    9.81418E-09    1.13064E-05    -1.11480E-06
729    2.06630E+03    3.37451E+01    1.62476E-06    -1.34470E+02    9.79146E-09    1.13258E-05    -1.10929E-06
730    2.07476E+03    3.35128E+01    1.61991E-06    -1.35135E+02    9.76881E-09    1.13445E-05    -1.10366E-06
731    2.08327E+03    3.32768E+01    1.61497E-06    -1.35766E+02    9.74624E-09    1.13625E-05    -1.09793E-06
732    2.09183E+03    3.30369E+01    1.60993E-06    -1.36360E+02    9.72374E-09    1.13799E-05    -1.09210E-06
733    2.10044E+03    3.27935E+01    1.60480E-06    -1.36919E+02    9.70133E-09    1.13967E-05    -1.08616E-06
734    2.10911E+03    3.25465E+01    1.59957E-06    -1.37441E+02    9.67899E-09    1.14128E-05    -1.08011E-06
735    2.11780E+03    3.22961E+01    1.59423E-06    -1.37928E+02    9.65672E-09    1.14282E-05    -1.07397E-06
736    2.12654E+03    3.20426E+01    1.58878E-06    -1.38377E+02    9.63453E-09    1.14430E-05    -1.06773E-06
737    2.13531E+03    3.17857E+01    1.58322E-06    -1.38790E+02    9.61242E-09    1.14571E-05    -1.06138E-06
738    2.14411E+03    3.15259E+01    1.57754E-06    -1.39166E+02    9.59038E-09    1.14706E-05    -1.05494E-06
739    2.15293E+03    3.12631E+01    1.57175E-06    -1.39505E+02    9.56841E-09    1.14834E-05    -1.04840E-06
740    2.16177E+03    3.09975E+01    1.56583E-06    -1.39805E+02    9.54652E-09    1.14955E-05    -1.04176E-06
741    2.17062E+03    3.07293E+01    1.55978E-06    -1.40068E+02    9.52471E-09    1.15070E-05    -1.03502E-06
742    2.17948E+03    3.04585E+01    1.55361E-06    -1.40294E+02    9.50296E-09    1.15178E-05    -1.02819E-06
743    2.18835E+03    3.01854E+01    1.54730E-06    -1.40481E+02    9.48129E-09    1.15279E-05    -1.02127E-06
744    2.19721E+03    2.99100E+01    1.54085E-06    -1.40631E+02    9.45969E-09    1.15373E-05    -1.01426E-06
745    2.20607E+03    2.96325E+01    1.53427E-06    -1.40742E+02    9.43816E-09    1.15461E-05    -1.00715E-06
746    2.21492E+03    2.93529E+01    1.52753E-06    -1.40815E+02    9.41671E-09    1.15542E-05    -9.99950E-07
747    2.22375E+03    2.90715E+01    1.52065E-06    -1.40850E+02    9.39532E-09    1.15616E-05    -9.92661E-07
748    2.23256E+03    2.87883E+01    1.51362E-06    -1.40846E+02    9.37401E-09    1.15684E-05    -9.85283E-07
749    2.24135E+03    2.85035E+01    1.50644E-06    -1.40804E+02    9.35276E-09    1.15745E-05    -9.77818E-07
750    2.25011E+03    2.82172E+01    1.49909E-06    -1.40724E+02    9.33159E-09    1.15798E-05    -9.70265E-07
751    2.25884E+03    2.79295E+01    1.49159E-06    -1.40605E+02    9.31048E-09    1.15845E-05    -9.62627E-07
752    2.26753E+03    2.76405E+01    1.48392E-06    -1.40447E+02    9.28945E-09    1.15886E-05    -9.54904E-07
753    2.27617E+03    2.73503E+01    1.47611E-06    -1.40252E+02    9.26848E-09    1.15919E-05    -9.47099E-07
754    2.28478E+03    2.70591E+01    1.46815E-06    -1.40018E+02    9.24758E-09    1.15946E-05    -9.39212E-07
755    2.29334E+03    2.67671E+01    1.46006E-06    -1.39746E+02    9.22675E-09    1.15965E-05    -9.31246E-07
756    2.30183E+03    2.64743E+01    1.45183E-06    -1.39436E+02    9.20599E-09    1.15979E-05    -9.23202E-07
757    2.31029E+03    2.61811E+01    1.44348E-06    -1.39088E+02    9.18529E-09    1.15985E-05    -9.15082E-07
758    2.31869E+03    2.58873E+01    1.43500E-06    -1.38704E+02    9.16467E-09    1.15985E-05    -9.06887E-07
759    2.32703E+03    2.55933E+01    1.42641E-06    -1.38281E+02    9.14411E-09    1.15979E-05    -8.98618E-07
760    2.33530E+03    2.52992E+01    1.41771E-06    -1.37822E+02    9.12362E-09    1.15965E-05    -8.90278E-07
761    2.34351E+03    2.50050E+01    1.40891E-06    -1.37325E+02    9.10319E-09    1.15946E-05    -8.81869E-07
762    2.35165E+03    2.47110E+01    1.40001E-06    -1.36790E+02    9.08283E-09    1.15919E-05    -8.73391E-07
763    2.35972E+03    2.44172E+01    1.39101E-06    -1.36220E+02    9.06254E-09    1.15887E-05    -8.64846E-07
764    2.36770E+03    2.41237E+01    1.38194E-06    -1.35612E+02    9.04231E-09    1.15848E-05    -8.56236E-07
